member	bundle	ext	bytes	md5	bundle_offset
AUDIT-LAMBDA.md	compendia	.md	5905	b3dd34002f390af9281d539122124e43	7069769
BiIII_asd.tsv	compendia	.tsv	2370	4904ad97ce81c8412a4d46d7e7461b90	26
CENSUS-CLOSURES-21a.tsv	compendia	.tsv	18	2deb87a95756d48874feff7dd5098af1	6111750
CENSUS-CLOSURES-23a.tsv	compendia	.tsv	675	7b4a6c57696563a2b96a812c4627f351	6179339
CENSUS-CLOSURES-24a.tsv	compendia	.tsv	18	2deb87a95756d48874feff7dd5098af1	6243658
CENSUS-CLOSURES-25b.tsv	compendia	.tsv	1830	22989acb08138d07e011f2f4f887adf4	6289341
CENSUS-CLOSURES-26b.tsv	compendia	.tsv	4621	34689057a6210d81baead0fe39069bd7	6347990
CENSUS-CLOSURES-26c.tsv	compendia	.tsv	1546	5a0fe37622c98cc8369567cf4665f827	6390931
CENSUS-CLOSURES-27a.tsv	compendia	.tsv	1683	342fc89447fa37da6d1fc75188a353c4	6425626
CENSUS-CLOSURES-27a3.tsv	compendia	.tsv	171	3750d87daf3cd0cb638f4b3f21e65e21	7490780
CENSUS-CLOSURES-28a2.tsv	compendia	.tsv	1580	df436792af39ac4dbbdb5177386659bc	6464245
CENSUS-CLOSURES-28b2.tsv	compendia	.tsv	1510	564764a4e92f7b296389fa7818998c77	6504957
CENSUS-CLOSURES-32a.tsv	compendia	.tsv	301	f72818a3dc011cb6fa7ab383fd23b6c3	7452069
CENSUS-CLOSURES-A.tsv	compendia	.tsv	2328	1a54d81d329d8b6b392e1096ba41b671	2880451
CENSUS-CLOSURES-B.tsv	compendia	.tsv	2605	dad836e2c5f74b1bf48a623bde593df8	2905190
CENSUS-CLOSURES-ch10.tsv	compendia	.tsv	18	2deb87a95756d48874feff7dd5098af1	3020539
CENSUS-CLOSURES-ch11.tsv	compendia	.tsv	1111	20660119d2580e5f556dd2df795c3c23	3033803
CENSUS-CLOSURES-ch16b.tsv	compendia	.tsv	290	61f70f0ed243de18a30698fd5d48a6af	3619515
CENSUS-CLOSURES-ch16d.tsv	compendia	.tsv	555	3c793a7e2c9a4453bd73df69c6b37ddd	3664263
