field	c	Z	symbol	cfg_prev	entrant	D_ent	runner_up	D_runner	margin	observed_gain	agree	spectrum	scf_iterations	converged	status	note
lx	137.035999	2	He	1s1	1s	-1.32416246	2s	-0.19021415	1.13394831	1s	yes	1s:-1.32416246;2s:-0.19021415;2p:-0.15790345;3s:-0.07171507;3p:-0.06359377;3d:-0.05626152;4s:-0.03764220;4p:-0.03446857;4d:-0.03162577;4f:-0.03126156;5s:-0.02316171;5p:-0.02160690;5d:-0.02020885;5f:-0.02000915;5g:-0.02000015;6s:-0.01567934;6p:-0.01480504;6d:-0.01401461;6f:-0.01389526;6g:-0.01388904;7s:-0.01131491;7p:-0.01077536;7d:-0.01028502;7f:-0.01020852;7g:-0.01020421;8s:-0.00854860;8p:-0.00819254;8d:-0.00786747;8f:-0.00781566;8g:-0.00781260	1	yes	RECONSTRUCTED	
lx	137.035999	3	Li	1s2	2s	-0.23197179	2p	-0.15925208	0.07271971	2s	yes	2s:-0.23197179;2p:-0.15925208;3s:-0.08036471;3p:-0.06425720;3d:-0.05607296;4s:-0.04083192;4p:-0.03475536;4d:-0.03153172;4f:-0.03125681;5s:-0.02467764;5p:-0.02175341;5d:-0.02015814;5f:-0.02000547;5g:-0.02000008;6s:-0.01651574;6p:-0.01488931;6d:-0.01398460;6f:-0.01389272;6g:-0.01388897;7s:-0.01182438;7p:-0.01082809;7d:-0.01026590;7f:-0.01020676;7g:-0.01020415;8s:-0.00888163;8p:-0.00822767;8d:-0.00785457;8f:-0.00781441;8g:-0.00781255	38	yes	RECONSTRUCTED	
lx	137.035999	4	Be	1s2 2s1	2s	-0.46165109	2p	-0.32213471	0.13951638	2s	yes	2s:-0.46165109;2p:-0.32213471;3s:-0.11890769;3p:-0.08973548;3d:-0.07257267;4s:-0.05192374;4p:-0.04303427;4d:-0.03713492;4f:-0.03188510;5s:-0.02953568;5p:-0.02558113;5d:-0.02284646;5f:-0.02044589;5g:-0.02002046;6s:-0.01907939;6p:-0.01697926;6d:-0.01548788;6f:-0.01418008;6g:-0.01390864;7s:-0.01334213;7p:-0.01209504;7d:-0.01119243;7f:-0.01039900;7g:-0.01021974;8s:-0.00985420;8p:-0.00905382;8d:-0.00846617;8f:-0.00794780;8g:-0.00782444	37	yes	RECONSTRUCTED	
lx	137.035999	5	B	1s2 2s2	2p	-0.47650632	3s	-0.14879441	0.32771191	2p	yes	2p:-0.47650632;3s:-0.14879441;3p:-0.10741664;3d:-0.07253723;4s:-0.05932194;4p:-0.04805580;4d:-0.03755289;5s:-0.03259554;4f:-0.03168340;5p:-0.02779752;5d:-0.02308807;6s:-0.02063902;5f:-0.02031538;5g:-0.02001161;6p:-0.01815585;6d:-0.01563206;7s:-0.01424386;6f:-0.01409875;6g:-0.01390035;7p:-0.01279457;7d:-0.01128404;8s:-0.01042212;7f:-0.01034611;7g:-0.01021328;8p:-0.00950346;8d:-0.00852762;8f:-0.00791179;8g:-0.00781957	36	yes	RECONSTRUCTED	
lx	137.035999	6	C	1s2 2s2 2p1	2p	-0.62725521	3s	-0.17478686	0.45246834	2p	yes	2p:-0.62725521;3s:-0.17478686;3p:-0.12091272;3d:-0.07001407;4s:-0.06517116;4p:-0.05150971;4d:-0.03693032;5s:-0.03491152;4f:-0.03163237;5p:-0.02927800;5d:-0.02282604;6s:-0.02179094;5f:-0.02027441;5g:-0.02001139;6p:-0.01892828;6d:-0.01549545;7s:-0.01489922;6f:-0.01407048;6g:-0.01389998;7p:-0.01324844;7d:-0.01120336;8s:-0.01083017;7f:-0.01032665;7g:-0.01021292;8p:-0.00979272;8d:-0.00847585;8f:-0.00789805;8g:-0.00781926	36	yes	RECONSTRUCTED	
lx	137.035999	7	N	1s2 2s2 2p2	2p	-0.77131020	3s	-0.19421962	0.57709058	2p	yes	2p:-0.77131020;3s:-0.19421962;3p:-0.12825440;4s:-0.06940365;3d:-0.06600164;4p:-0.05355852;5s:-0.03656036;4d:-0.03574703;4f:-0.03149995;5p:-0.03015748;6s:-0.02260070;5d:-0.02229217;5f:-0.02018326;5g:-0.02000651;6p:-0.01938560;7s:-0.01535572;6d:-0.01520668;6f:-0.01401150;6g:-0.01389534;7p:-0.01351619;8s:-0.01111247;7d:-0.01102902;7f:-0.01028737;7g:-0.01020927;8p:-0.00996281;8d:-0.00836238;8f:-0.00787088;8g:-0.00781649	36	yes	RECONSTRUCTED	
lx	137.035999	8	O	1s2 2s2 2p3	2p	-0.91491006	3s	-0.21051028	0.70439978	2p	yes	2p:-0.91491006;3s:-0.21051028;3p:-0.13278319;4s:-0.07286498;3d:-0.06295305;4p:-0.05496453;5s:-0.03788580;4d:-0.03466987;4f:-0.03141321;5p:-0.03076348;6s:-0.02324450;5d:-0.02178436;5f:-0.02012181;5g:-0.02000373;6p:-0.01970034;7s:-0.01571593;6d:-0.01492645;6f:-0.01397113;6g:-0.01389263;7p:-0.01370012;8s:-0.01133402;7d:-0.01085791;7f:-0.01026026;7g:-0.01020712;8p:-0.01007945;8d:-0.00825019;8f:-0.00785201;8g:-0.00781485	36	yes	RECONSTRUCTED	
lx	137.035999	9	F	1s2 2s2 2p4	2p	-1.06046367	3s	-0.22480106	0.83566261	2p	yes	2p:-1.06046367;3s:-0.22480106;3p:-0.13567634;4s:-0.07583533;3d:-0.06087947;4p:-0.05598391;5s:-0.03900564;4d:-0.03383520;4f:-0.03135938;5p:-0.03120610;6s:-0.02378331;5d:-0.02137475;5f:-0.02008281;5g:-0.02000221;6p:-0.01993038;7s:-0.01601552;6d:-0.01469607;6f:-0.01394522;6g:-0.01389114;7p:-0.01383447;8s:-0.01151746;7d:-0.01071568;7f:-0.01024272;7g:-0.01020592;8p:-0.01016457;8d:-0.00815628;8f:-0.00783976;8g:-0.00781392	36	yes	RECONSTRUCTED	
lx	137.035999	10	Ne	1s2 2s2 2p5	2p	-1.20909986	3s	-0.23763036	0.97146949	2p	yes	2p:-1.20909986;3s:-0.23763036;3p:-0.13750887;4s:-0.07845107;3d:-0.05948321;4p:-0.05673945;5s:-0.03997823;4d:-0.03322230;5p:-0.03153791;4f:-0.03132536;6s:-0.02424745;5d:-0.02106410;6p:-0.02010326;5f:-0.02005773;5g:-0.02000136;7s:-0.01627219;6d:-0.01451850;7p:-0.01393549;6f:-0.01392840;6g:-0.01389028;8s:-0.01167402;7d:-0.01060501;7f:-0.01023128;8p:-0.01022857;7g:-0.01020523;8d:-0.00808274;8f:-0.00783173;8g:-0.00781339	37	yes	RECONSTRUCTED	
lx	137.035999	11	Na	1s2 2s2 2p6	3s	-0.24930804	3p	-0.13861476	0.11069328	3s	yes	3s:-0.24930804;3p:-0.13861476;4s:-0.08079234;3d:-0.05852498;4p:-0.05730226;5s:-0.04083812;4d:-0.03277684;5p:-0.03178910;4f:-0.03130325;6s:-0.02465488;5d:-0.02083279;6p:-0.02023472;5f:-0.02004120;5g:-0.02000087;7s:-0.01649644;6d:-0.01438459;7p:-0.01401242;6f:-0.01391723;6g:-0.01388978;8s:-0.01181036;7d:-0.01052089;8p:-0.01027733;7f:-0.01022365;7g:-0.01020482;8d:-0.00802657;8f:-0.00782636;8g:-0.00781308	37	yes	RECONSTRUCTED	
